Name,Genotype,Sent to and date,Constructed by,Thawed for and date,Constructed from,Isolation date,Isolation location,Gps latitude,Gps longitude,Description,SysID
PB1104,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1105,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1106,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1109,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1110,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1111,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1112,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1113,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1114,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1115,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1116,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1117,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1118,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1119,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1121,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1122,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1123,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1124,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1125,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1126,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1127,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1128,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1129,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1130,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1132,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1133,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1134,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1135,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1136,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1137,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1138,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1139,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1140,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1141,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1142,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1143,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1144,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1145,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1146,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1147,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1148,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1151,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1152,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1153,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1154,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1155,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1156,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1157,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1158,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1160,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1161,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1162,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1163,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1164,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1165,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1166,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1167,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1168,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1169,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1170,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1171,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1172,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1174,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1176,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1177,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1179,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1180,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1182,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1183,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1184,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1185,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1186,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1187,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1188,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1189,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1192,AF16xHK104 RIAIL,-,S. Baird,E. Andersen (01/14/2014),Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1193,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1195,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1201,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1202,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1203,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1205,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1206,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1207,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1208,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1209,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1210,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1213,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1221,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1223,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1225,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1226,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1227,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1228,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1229,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1230,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1234,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1236,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1237,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1238,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1239,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1244,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1257,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1260,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1261,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1262,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1264,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1265,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1266,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1267,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1268,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1282,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1283,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1211,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1214,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1215,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1217,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1218,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1219,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1220,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1222,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1231,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1232,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1233,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1235,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1240,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1241,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1243,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1245,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1246,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1247,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1248,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1249,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1250,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1252,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1253,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1254,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1255,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1256,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1258,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1259,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1263,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1271,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1272,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1273,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1274,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1275,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1276,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1278,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1279,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1280,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1281,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1284,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1285,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1286,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1107,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1149,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1150,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1173,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1178,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1191,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1159,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1190,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
TJ1052,age-1(bx546),-,-,-,-,NA,NA,NA,NA,,
AU77,agIs8 [T24B8.5::GFP ttx-3::GFP],-,-,-,-,NA,NA,NA,NA,,
AU78,"agIs9 [T24B8.5::GFP, ttx-3::GFP]",-,D. Kim,-,-,NA,NA,NA,NA,,
WE5236,"ajIR1[chrI, CB4856 > N2]",Matt Rockman (03/10/2015),-,Matt Rockman (02/19/2015),-,NA,NA,NA,NA,,
WE5237,"ajIR2[chrII, CB4856 > N2]",Matt Rockman (03/10/2015),-,Matt Rockman (02/19/2015),-,NA,NA,NA,NA,,
WE5238,"ajIR3[chrIII, CB4856 > N2]",Matt Rockman (03/10/2015),-,Matt Rockman (02/19/2015),-,NA,NA,NA,NA,,
WE5239 #2,"ajIR4 [CB4856>N2,chrIV]",-,-,-,-,NA,NA,NA,NA,,
WE5239,"ajIR4[chrIV, CB4856 > N2]",Matt Rockman (03/10/2015),-,Matt Rockman (02/19/2015),-,NA,NA,NA,NA,,
WE5240,"ajIR5[chrV, CB4856 > N2]",Matt Rockman (03/10/2015),-,Matt Rockman (02/19/2015),-,NA,NA,NA,NA,,
WE5241,"ajIR6[chrX, CB4856 > N2]",Matt Rockman (03/10/2015),-,"Alejandro Ramos (5/7/2013), Matt Rockman (02/19/2015)",-,NA,NA,NA,NA,,
ECA270,alg-4(tm1184)III; alg-3(tm1155) IV,-,Ting Han,-,-,NA,NA,NA,NA,,
CB1490,ali-1(e1934) him-5(e1490)V,-,-,Hillary Tsang (05/08/2015),-,NA,NA,NA,NA,,
ZD33,atf-7(qd22),-,-,-,-,NA,NA,NA,NA,,
PD4666,ayIs6 [hlh-8::GFP dpy-20(+)] X,-,-,-,-,NA,NA,NA,NA,,
CB3474,ben-1(e1880) III,-,-,-,-,NA,NA,NA,NA,,
QX1437,bli(qq7),-,E. Andersen,-,CB4856,NA,NA,NA,NA,,
CB769,bli-1(e769),-,-,-,-,NA,NA,NA,NA,,
CB768,bli-2(e768),-,-,-,-,NA,NA,NA,NA,,
DR2078,bli-2(e768) unc-4(e120)/mIn1 [dpy-10(e128) mIs14],-,M. Edgley,-,-,NA,NA,NA,NA,,
CB767,bli-3(e767),-,S. Brenner,-,-,NA,NA,NA,NA,,
MT1344,bli-3(e767) lin-17(n677),-,CF,-,-,NA,NA,NA,NA,,
